issn,issued_year,n,year_founded,year_reverse_flipped,journal_name,publisher,lag,lags,pct_change
1473-8376,2013,41,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,1,22,0.8636363636363636
1473-8376,2014,22,2002,2012,"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier,2,41,-0.4634146341463415
1475-7516,2003,93,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,-2,NA,0
1475-7516,2004,144,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,-1,93,0.5483870967741935
1475-7516,2005,156,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,0,144,0.08333333333333333
1475-7516,2006,216,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,1,156,0.38461538461538464
1475-7516,2007,280,2003,2005,Journal of Cosmology and Astroparticle Physics,IOP Press,2,216,0.2962962962962963
1477-3880,2011,25,2003,2013,International Review of Economics Education,Elsevier,-2,NA,0
1477-3880,2012,19,2003,2013,International Review of Economics Education,Elsevier,-1,25,-0.24
1477-3880,2013,31,2003,2013,International Review of Economics Education,Elsevier,0,19,0.631578947368421
1477-3880,2014,40,2003,2013,International Review of Economics Education,Elsevier,1,31,0.2903225806451613
1477-3880,2015,22,2003,2013,International Review of Economics Education,Elsevier,2,40,-0.45
1499-2671,2010,67,1977,2012,Canadian Journal of Diabetes,Elsevier,-2,NA,0
1499-2671,2011,346,1977,2012,Canadian Journal of Diabetes,Elsevier,-1,67,4.164179104477612
1499-2671,2012,365,1977,2012,Canadian Journal of Diabetes,Elsevier,0,346,0.05491329479768786
1499-2671,2013,888,1977,2012,Canadian Journal of Diabetes,Elsevier,1,365,1.4328767123287671
1499-2671,2014,337,1977,2012,Canadian Journal of Diabetes,Elsevier,2,888,-0.6204954954954955
1519-566X,2010,172,1972,2012,Neotropical Entomology,Springer Nature,-2,NA,0
1519-566X,2011,85,1972,2012,Neotropical Entomology,Springer Nature,-1,172,-0.5058139534883721
1519-566X,2012,97,1972,2012,Neotropical Entomology,Springer Nature,0,85,0.1411764705882353
1519-566X,2013,85,1972,2012,Neotropical Entomology,Springer Nature,1,97,-0.12371134020618557
1519-566X,2014,73,1972,2012,Neotropical Entomology,Springer Nature,2,85,-0.1411764705882353
1525-2019,2011,12,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,-2,NA,0
1525-2019,2012,2,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,-1,12,-0.8333333333333334
1525-2019,2013,11,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,0,2,4.5
1525-2019,2014,11,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,1,11,0
1525-2019,2015,13,2e3,2013,Journal of Interactive Advertising,Taylor & Francis,2,11,0.18181818181818182
1532-0073,2012,29,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,-2,NA,0
1532-0073,2013,37,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,-1,29,0.27586206896551724
1532-0073,2014,38,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,0,37,0.02702702702702703
1532-0073,2015,36,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,1,38,-0.05263157894736842
1532-0073,2016,42,1999,2014,"Homology, Homotopy and Applications (HHA)",International Press of Boston,2,36,0.16666666666666666
1546-3222,2008,143,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,-2,NA,0
1546-3222,2009,109,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,-1,143,-0.23776223776223776
1546-3222,2010,67,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,0,109,-0.3853211009174312
1546-3222,2011,75,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,1,67,0.11940298507462686
1546-3222,2012,70,2004,2010,Proceedings of the American Thoracic Society,American Thoracic Society,2,75,-0.06666666666666667
1548-159X,2013,17,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,-2,NA,0
1548-159X,2014,18,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,-1,17,0.058823529411764705
1548-159X,2015,17,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,0,18,-0.05555555555555555
1548-159X,2016,16,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,1,17,-0.058823529411764705
1548-159X,2017,17,2004,2015,Dynamics of Partial Differential Equations (DPDE),International Press of Boston,2,16,0.0625
1549-9243,2009,25,2005,2011,The New Educator (Online),Taylor & Francis,-2,NA,0
1549-9243,2010,23,2005,2011,The New Educator (Online),Taylor & Francis,-1,25,-0.08
1549-9243,2011,27,2005,2011,The New Educator (Online),Taylor & Francis,0,23,0.17391304347826086
1549-9243,2012,25,2005,2011,The New Educator (Online),Taylor & Francis,1,27,-0.07407407407407407
1549-9243,2013,27,2005,2011,The New Educator (Online),Taylor & Francis,2,25,0.08
1559-4106,2012,68,2006,2014,Biointerphases,American Institute of Physics,-2,NA,0
1559-4106,2013,37,2006,2014,Biointerphases,American Institute of Physics,-1,68,-0.45588235294117646
1559-4106,2014,49,2006,2014,Biointerphases,American Institute of Physics,0,37,0.32432432432432434
1559-4106,2015,98,2006,2014,Biointerphases,American Institute of Physics,1,49,1
1559-4106,2016,134,2006,2014,Biointerphases,American Institute of Physics,2,98,0.3673469387755102
1566-5399,2011,19,2001,2013,Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,-2,NA,0
1566-5399,2012,6,2001,2013,Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,-1,19,-0.6842105263157895
1566-5399,2013,47,2001,2013,Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,0,6,6.833333333333333
1566-5399,2014,45,2001,2013,Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,1,47,-0.0425531914893617
1566-5399,2015,49,2001,2013,Ars Disputandi : the Online Journal for Philosophy of Religion,Taylor & Francis,2,45,0.08888888888888889
1609-4840,2010,24,2001,2012,Computational Methods in Applied Mathematics,De Gruyter,-2,NA,0
1609-4840,2011,25,2001,2012,Computational Methods in Applied Mathematics,De Gruyter,-1,24,0.041666666666666664
1609-4840,2012,31,2001,2012,Computational Methods in Applied Mathematics,De Gruyter,0,25,0.24
1609-4840,2013,29,2001,2012,Computational Methods in Applied Mathematics,De Gruyter,1,31,-0.06451612903225806
1609-4840,2014,33,2001,2012,Computational Methods in Applied Mathematics,De Gruyter,2,29,0.13793103448275862
1618-7229,2011,91,2001,2013,e-Polymers,De Gruyter,-2,NA,0
1618-7229,2012,91,2001,2013,e-Polymers,De Gruyter,-1,91,0
1618-7229,2013,36,2001,2013,e-Polymers,De Gruyter,0,91,-0.6043956043956044
1618-7229,2014,67,2001,2013,e-Polymers,De Gruyter,1,36,0.8611111111111112
1618-7229,2015,59,2001,2013,e-Polymers,De Gruyter,2,67,-0.11940298507462686
1672-1977,2011,209,2003,2013,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,-2,NA,0
1672-1977,2012,206,2003,2013,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,-1,209,-0.014354066985645933
1672-1977,2013,58,2003,2013,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,0,206,-0.7184466019417476
1672-1977,2014,55,2003,2013,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,1,58,-0.05172413793103448
1672-1977,2015,61,2003,2013,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Elsevier,2,55,0.10909090909090909
1678-5878,2011,58,1979,2013,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,-2,NA,0
1678-5878,2012,56,1979,2013,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,-1,58,-0.034482758620689655
1678-5878,2013,117,1979,2013,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,0,56,1.0892857142857142
1678-5878,2014,168,1979,2013,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,1,117,0.4358974358974359
1678-5878,2015,177,1979,2013,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Springer Nature,2,168,0.05357142857142857
1699-8855,2008,59,1968,2010,Revista Espanola de Patologia,Elsevier,-2,NA,0
1699-8855,2009,57,1968,2010,Revista Espanola de Patologia,Elsevier,-1,59,-0.03389830508474576
1699-8855,2010,67,1968,2010,Revista Espanola de Patologia,Elsevier,0,57,0.17543859649122806
1699-8855,2011,46,1968,2010,Revista Espanola de Patologia,Elsevier,1,67,-0.31343283582089554
1699-8855,2012,46,1968,2010,Revista Espanola de Patologia,Elsevier,2,46,0
1703-289X,2009,24,2002,2011,Journal of Religion and Popular Culture,University of Toronto Press,-2,NA,0
1703-289X,2010,25,2002,2011,Journal of Religion and Popular Culture,University of Toronto Press,-1,24,0.041666666666666664
1703-289X,2011,29,2002,2011,Journal of Religion and Popular Culture,University of Toronto Press,0,25,0.16
1703-289X,2012,85,2002,2011,Journal of Religion and Popular Culture,University of Toronto Press,1,29,1.9310344827586208
1703-289X,2013,46,2002,2011,Journal of Religion and Popular Culture,University of Toronto Press,2,85,-0.4588235294117647
1733-8387,2009,15,1983,2011,Geochronometria,Springer Nature,-2,NA,0
1733-8387,2010,26,1983,2011,Geochronometria,Springer Nature,-1,15,0.7333333333333333
1733-8387,2011,48,1983,2011,Geochronometria,Springer Nature,0,26,0.8461538461538461
1733-8387,2012,27,1983,2011,Geochronometria,Springer Nature,1,48,-0.4375
1733-8387,2013,40,1983,2011,Geochronometria,Springer Nature,2,27,0.48148148148148145
1734-1140,2012,240,1949,2014,Pharmacological Reports,Elsevier,-2,NA,0
1734-1140,2013,401,1949,2014,Pharmacological Reports,Elsevier,-1,240,0.6708333333333333
1734-1140,2014,185,1949,2014,Pharmacological Reports,Elsevier,0,401,-0.5386533665835411
1734-1140,2015,333,1949,2014,Pharmacological Reports,Elsevier,1,185,0.8
1734-1140,2016,202,1949,2014,Pharmacological Reports,Elsevier,2,333,-0.3933933933933934
1735-1472,2010,80,2004,2012,International Journal of Environmental Science and Technology,Springer Nature,-2,NA,0
1735-1472,2011,79,2004,2012,International Journal of Environmental Science and Technology,Springer Nature,-1,80,-0.0125
1735-1472,2012,115,2004,2012,International Journal of Environmental Science and Technology,Springer Nature,0,79,0.45569620253164556
1735-1472,2013,315,2004,2012,International Journal of Environmental Science and Technology,Springer Nature,1,115,1.7391304347826086
1735-1472,2014,273,2004,2012,International Journal of Environmental Science and Technology,Springer Nature,2,315,-0.13333333333333333
1735-207X,2010,137,2004,2012,Journal of the Iranian Chemical Society,Springer Nature,-2,NA,0
1735-207X,2011,140,2004,2012,Journal of the Iranian Chemical Society,Springer Nature,-1,137,0.021897810218978103
1735-207X,2012,194,2004,2012,Journal of the Iranian Chemical Society,Springer Nature,0,140,0.38571428571428573
1735-207X,2013,195,2004,2012,Journal of the Iranian Chemical Society,Springer Nature,1,194,0.005154639175257732
1735-207X,2014,174,2004,2012,Journal of the Iranian Chemical Society,Springer Nature,2,195,-0.1076923076923077
1735-8787,2013,32,2007,2015,Banach Journal of Mathematical Analysis,Duke University Press,-2,NA,0
1735-8787,2014,42,2007,2015,Banach Journal of Mathematical Analysis,Duke University Press,-1,32,0.3125
1735-8787,2015,80,2007,2015,Banach Journal of Mathematical Analysis,Duke University Press,0,42,0.9047619047619048
1735-8787,2016,48,2007,2015,Banach Journal of Mathematical Analysis,Duke University Press,1,80,-0.4
1735-8787,2017,48,2007,2015,Banach Journal of Mathematical Analysis,Duke University Press,2,48,0
1755-5345,2011,14,2008,2013,Journal of Choice Modelling,Elsevier,-2,NA,0
1755-5345,2012,14,2008,2013,Journal of Choice Modelling,Elsevier,-1,14,0
1755-5345,2013,23,2008,2013,Journal of Choice Modelling,Elsevier,0,14,0.6428571428571429
1755-5345,2014,25,2008,2013,Journal of Choice Modelling,Elsevier,1,23,0.08695652173913043
1755-5345,2015,22,2008,2013,Journal of Choice Modelling,Elsevier,2,25,-0.12
1806-9959,2011,57,1978,2013,Revista Brasileira de Botanica,Springer Nature,-2,NA,0
1806-9959,2012,45,1978,2013,Revista Brasileira de Botanica,Springer Nature,-1,57,-0.21052631578947367
1806-9959,2013,39,1978,2013,Revista Brasileira de Botanica,Springer Nature,0,45,-0.13333333333333333
1806-9959,2014,72,1978,2013,Revista Brasileira de Botanica,Springer Nature,1,39,0.8461538461538461
1806-9959,2015,127,1978,2013,Revista Brasileira de Botanica,Springer Nature,2,72,0.7638888888888888
1807-0302,2011,25,1982,2013,Computational and Applied Mathematics,Springer Nature,-2,NA,0
1807-0302,2012,26,1982,2013,Computational and Applied Mathematics,Springer Nature,-1,25,0.04
1807-0302,2013,100,1982,2013,Computational and Applied Mathematics,Springer Nature,0,26,2.8461538461538463
1807-0302,2014,101,1982,2013,Computational and Applied Mathematics,Springer Nature,1,100,0.01
1807-0302,2015,94,1982,2013,Computational and Applied Mathematics,Springer Nature,2,101,-0.06930693069306931
1838-0743,2011,24,2011,2013,Settler Colonial Studies,Taylor & Francis,-2,NA,0
1838-0743,2012,30,2011,2013,Settler Colonial Studies,Taylor & Francis,-1,24,0.25
1838-0743,2013,63,2011,2013,Settler Colonial Studies,Taylor & Francis,0,30,1.1
1838-0743,2014,44,2011,2013,Settler Colonial Studies,Taylor & Francis,1,63,-0.30158730158730157
1838-0743,2015,54,2011,2013,Settler Colonial Studies,Taylor & Francis,2,44,0.22727272727272727
1861-9541,2012,739,1956,2014,Chinese Science Bulletin,Springer Nature,-2,NA,0
1861-9541,2013,512,1956,2014,Chinese Science Bulletin,Springer Nature,-1,739,-0.3071718538565629
1861-9541,2014,603,1956,2014,Chinese Science Bulletin,Springer Nature,0,512,0.177734375
1861-9541,2015,315,1956,2014,Chinese Science Bulletin,Springer Nature,1,603,-0.47761194029850745
1861-9541,2016,275,1956,2014,Chinese Science Bulletin,Springer Nature,2,315,-0.12698412698412698
1878-450X,2014,8,2012,2016,International Journal of Gastronomy and Food Science,Elsevier,-2,NA,0
1878-450X,2015,9,2012,2016,International Journal of Gastronomy and Food Science,Elsevier,-1,8,0.125
1878-450X,2016,16,2012,2016,International Journal of Gastronomy and Food Science,Elsevier,0,9,0.7777777777777778
1878-450X,2017,29,2012,2016,International Journal of Gastronomy and Food Science,Elsevier,1,16,0.8125
1878-450X,2018,45,2012,2016,International Journal of Gastronomy and Food Science,Elsevier,2,29,0.5517241379310345
1895-6106,2010,16,2005,2012,Lodz Papers in Pragmatics,De Gruyter,-2,NA,0
1895-6106,2011,17,2005,2012,Lodz Papers in Pragmatics,De Gruyter,-1,16,0.0625
1895-6106,2012,19,2005,2012,Lodz Papers in Pragmatics,De Gruyter,0,17,0.11764705882352941
1895-6106,2013,20,2005,2012,Lodz Papers in Pragmatics,De Gruyter,1,19,0.05263157894736842
1895-6106,2014,18,2005,2012,Lodz Papers in Pragmatics,De Gruyter,2,20,-0.1
1896-1126,2012,55,1956,2014,Advances in Medical Sciences,Elsevier,-2,NA,0
1896-1126,2013,61,1956,2014,Advances in Medical Sciences,Elsevier,-1,55,0.10909090909090909
1896-1126,2014,57,1956,2014,Advances in Medical Sciences,Elsevier,0,61,-0.06557377049180328
1896-1126,2015,57,1956,2014,Advances in Medical Sciences,Elsevier,1,57,0
1896-1126,2016,57,1956,2014,Advances in Medical Sciences,Elsevier,2,57,0
1940-087X,2007,132,2006,2009,Journal of Visualized Experiments,MyJove Corp.,-2,NA,0
1940-087X,2008,115,2006,2009,Journal of Visualized Experiments,MyJove Corp.,-1,132,-0.12878787878787878
1940-087X,2009,219,2006,2009,Journal of Visualized Experiments,MyJove Corp.,0,115,0.9043478260869565
1940-087X,2010,364,2006,2009,Journal of Visualized Experiments,MyJove Corp.,1,219,0.6621004566210046
1940-087X,2011,632,2006,2009,Journal of Visualized Experiments,MyJove Corp.,2,364,0.7362637362637363
1948-822X,2012,21,2010,2014,Journal of the Society for Social Work and Research,University of Chicago Press,-2,NA,0
1948-822X,2013,25,2010,2014,Journal of the Society for Social Work and Research,University of Chicago Press,-1,21,0.19047619047619047
1948-822X,2014,23,2010,2014,Journal of the Society for Social Work and Research,University of Chicago Press,0,25,-0.08
1948-822X,2015,29,2010,2014,Journal of the Society for Social Work and Research,University of Chicago Press,1,23,0.2608695652173913
1948-822X,2016,38,2010,2014,Journal of the Society for Social Work and Research,University of Chicago Press,2,29,0.3103448275862069
1955-2629,2009,15,2007,2011,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,-2,NA,0
1955-2629,2010,56,2007,2011,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,-1,15,2.7333333333333334
1955-2629,2011,19,2007,2011,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,0,56,-0.6607142857142857
1955-2629,2012,21,2007,2011,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,1,19,0.10526315789473684
1955-2629,2013,23,2007,2011,"Journal of Language Contact : Evolution of Languages, Contact and Discourse",Brill,2,21,0.09523809523809523
1982-5676,2013,71,1976,2015,Tropical Plant Pathology,Springer Nature,-2,NA,0
1982-5676,2014,64,1976,2015,Tropical Plant Pathology,Springer Nature,-1,71,-0.09859154929577464
1982-5676,2015,62,1976,2015,Tropical Plant Pathology,Springer Nature,0,64,-0.03125
1982-5676,2016,54,1976,2015,Tropical Plant Pathology,Springer Nature,1,62,-0.12903225806451613
1982-5676,2017,82,1976,2015,Tropical Plant Pathology,Springer Nature,2,54,0.5185185185185185
1995-5855,2011,55,2007,2013,Vienna Journal on International Constitutional Law,De Gruyter,-2,NA,0
1995-5855,2012,33,2007,2013,Vienna Journal on International Constitutional Law,De Gruyter,-1,55,-0.4
1995-5855,2013,59,2007,2013,Vienna Journal on International Constitutional Law,De Gruyter,0,33,0.7878787878787878
1995-5855,2014,42,2007,2013,Vienna Journal on International Constitutional Law,De Gruyter,1,59,-0.288135593220339
1995-5855,2015,46,2007,2013,Vienna Journal on International Constitutional Law,De Gruyter,2,42,0.09523809523809523
2008-8752,2013,32,2010,2015,Annals of Functional Analysis,Duke University Press,-2,NA,0
2008-8752,2014,31,2010,2015,Annals of Functional Analysis,Duke University Press,-1,32,-0.03125
2008-8752,2015,80,2010,2015,Annals of Functional Analysis,Duke University Press,0,31,1.5806451612903225
2008-8752,2016,62,2010,2015,Annals of Functional Analysis,Duke University Press,1,80,-0.225
2008-8752,2017,48,2010,2015,Annals of Functional Analysis,Duke University Press,2,62,-0.22580645161290322
2168-6750,2013,39,2013,2015,IEEE Transactions on Emerging Topics in Computing,IEEE,-2,NA,0
2168-6750,2014,54,2013,2015,IEEE Transactions on Emerging Topics in Computing,IEEE,-1,39,0.38461538461538464
2168-6750,2015,69,2013,2015,IEEE Transactions on Emerging Topics in Computing,IEEE,0,54,0.2777777777777778
2168-6750,2016,85,2013,2015,IEEE Transactions on Emerging Topics in Computing,IEEE,1,69,0.2318840579710145
2168-6750,2017,147,2013,2015,IEEE Transactions on Emerging Topics in Computing,IEEE,2,85,0.7294117647058823
2190-7579,2014,22,1968,2016,Gold Bulletin,Springer Nature,-2,NA,0
2190-7579,2015,20,1968,2016,Gold Bulletin,Springer Nature,-1,22,-0.09090909090909091
2190-7579,2016,16,1968,2016,Gold Bulletin,Springer Nature,0,20,-0.2
2190-7579,2017,33,1968,2016,Gold Bulletin,Springer Nature,1,16,1.0625
2190-7579,2018,25,1968,2016,Gold Bulletin,Springer Nature,2,33,-0.24242424242424243
2212-6864,2013,25,2012,2015,Physics of the Dark Universe,Elsevier,-2,NA,0
2212-6864,2014,31,2012,2015,Physics of the Dark Universe,Elsevier,-1,25,0.24
2212-6864,2015,10,2012,2015,Physics of the Dark Universe,Elsevier,0,31,-0.6774193548387096
2212-6864,2016,48,2012,2015,Physics of the Dark Universe,Elsevier,1,10,3.8
2212-6864,2017,51,2012,2015,Physics of the Dark Universe,Elsevier,2,48,0.0625
2213-5383,2013,9,2013,2015,Journal of Cancer Policy,Elsevier,-2,NA,0
2213-5383,2014,14,2013,2015,Journal of Cancer Policy,Elsevier,-1,9,0.5555555555555556
2213-5383,2015,23,2013,2015,Journal of Cancer Policy,Elsevier,0,14,0.6428571428571429
2213-5383,2016,26,2013,2015,Journal of Cancer Policy,Elsevier,1,23,0.13043478260869565
2213-5383,2017,49,2013,2015,Journal of Cancer Policy,Elsevier,2,26,0.8846153846153846
2214-5400,2014,89,2013,2016,Meta Gene,Elsevier,-2,NA,0
2214-5400,2015,65,2013,2016,Meta Gene,Elsevier,-1,89,-0.2696629213483146
2214-5400,2016,86,2013,2016,Meta Gene,Elsevier,0,65,0.3230769230769231
2214-5400,2017,121,2013,2016,Meta Gene,Elsevier,1,86,0.4069767441860465
2214-5400,2018,198,2013,2016,Meta Gene,Elsevier,2,121,0.6363636363636364
2214-9937,2014,7,2014,2016,Sustainable Materials and Technologies,Elsevier,-2,NA,0
2214-9937,2015,12,2014,2016,Sustainable Materials and Technologies,Elsevier,-1,7,0.7142857142857143
2214-9937,2016,9,2014,2016,Sustainable Materials and Technologies,Elsevier,0,12,-0.25
2214-9937,2017,23,2014,2016,Sustainable Materials and Technologies,Elsevier,1,9,1.5555555555555556
2214-9937,2018,35,2014,2016,Sustainable Materials and Technologies,Elsevier,2,23,0.5217391304347826
2215-0382,2014,27,2014,2016,Colloid and Interface Science Communications,Elsevier,-2,NA,0
2215-0382,2015,24,2014,2016,Colloid and Interface Science Communications,Elsevier,-1,27,-0.1111111111111111
2215-0382,2016,21,2014,2016,Colloid and Interface Science Communications,Elsevier,0,24,-0.125
2215-0382,2017,27,2014,2016,Colloid and Interface Science Communications,Elsevier,1,21,0.2857142857142857
2215-0382,2018,58,2014,2016,Colloid and Interface Science Communications,Elsevier,2,27,1.1481481481481481
2215-1532,2014,9,2014,2016,"Environmental Nanotechnology, Monitoring and Management",Elsevier,-2,NA,0
2215-1532,2015,24,2014,2016,"Environmental Nanotechnology, Monitoring and Management",Elsevier,-1,9,1.6666666666666667
2215-1532,2016,40,2014,2016,"Environmental Nanotechnology, Monitoring and Management",Elsevier,0,24,0.6666666666666666
2215-1532,2017,53,2014,2016,"Environmental Nanotechnology, Monitoring and Management",Elsevier,1,40,0.325
2215-1532,2018,75,2014,2016,"Environmental Nanotechnology, Monitoring and Management",Elsevier,2,53,0.41509433962264153
2251-1717,2013,21,2012,2015,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,-2,NA,0
2251-1717,2014,22,2012,2015,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,-1,21,0.047619047619047616
2251-1717,2015,11,2012,2015,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,0,22,-0.5
2251-1717,2016,36,2012,2015,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,1,11,2.272727272727273
2251-1717,2017,27,2012,2015,Journal of Astronomical Instrumentation,World Scientific Pub Co Pte Lt,2,36,-0.25
